	celltype1	manual_annotation	leiden_v1_r0.5	leiden_v2_r0.7
cldnh	hatching_gland	unassigned	5	4
myoc	somites	unassigned	0	2
col4a2	somites	unassigned	4	3
dok7	muscle	unassigned	4	3
tmem38a	muscle	unassigned	4	3
foxo3b	fast_muscle	unassigned	0	0
efcc1	neural_posterior	unassigned	1	1
cxcl14	midbrain_hindbrain_boundary	unassigned	2	8
alpi.1	muscle	unassigned	0	2
arl4ca	endoderm	unassigned	3	10
si:dkey-121b10.7	hemangioblasts	unassigned	6	7
zgc:113232	notochord	unassigned	7	9
sst6	notochord	unassigned	7	9
si:dkey-285b23.4	hematopoietic_vasculature	unassigned	5	4
htr4	hematopoietic_vasculature	unassigned	3	5
ndr2	neural_telencephalon	unassigned	8	10
phldb2b	endoderm	unassigned	0	2
chata	differentiating_neurons	unassigned	2	6
kif26ba	pronephros	unassigned	3	5
cacna1ia	hatching_gland	unassigned	5	4
ckmb	muscle	unassigned	2	8
tspan18b	hematopoietic_vasculature	unassigned	3	5
celf5a	neural_telencephalon	unassigned	1	1
galn	tail_bud	unassigned	2	8
kdrl	hematopoietic_vasculature	unassigned	6	7
mtcl1	differentiating_neurons	unassigned	2	6
vasnb	endocrine_pancreas	unassigned	3	5
hmcn1	notochord	unassigned	0	2
enah	muscle	unassigned	0	2
enox1	enteric_neurons	unassigned	2	6
fgfbp3	floor_plate	unassigned	1	1
BX908388.3	neural	unassigned	1	1
nkx2.4a	neural_telencephalon	unassigned	8	10
abca1b	PSM	unassigned	0	2
nfatc1	notochord	unassigned	3	5
igf2bp1	neural_floor_plate	unassigned	0	0
sstr5	endoderm	unassigned	3	10
chl1b	neural_posterior	unassigned	1	1
negr1	neural_posterior	unassigned	1	1
CR381686.5	muscle	unassigned	4	3
hoxc13a	NMPs	unassigned	2	8
alpk2	muscle	unassigned	4	3
si:dkey-280e21.3	differentiating_neurons	unassigned	2	6
col19a1	muscle	unassigned	4	3
plagl2	midbrain_hindbrain_boundary	unassigned	0	0
nmrk2	notochord	unassigned	7	9
prickle1a	PSM	unassigned	0	2
nrxn3b	optic_cup	unassigned	1	1
stxbp5a	NMPs	unassigned	0	2
bnc2	neural	unassigned	3	5
gsx2	neural_telencephalon	unassigned	2	8
tanc1b	notochord	unassigned	0	0
cst14b.2	hemangioblasts	unassigned	2	8
ATP8A1	pharyngeal_arches	unassigned	1	1
slc29a1b	hemangioblasts	unassigned	6	7
tnni2a.4	enteric_neurons	unassigned	2	8
neurod1	enteric_neurons	unassigned	2	6
lmo7b	hatching_gland	unassigned	7	9
flt4	hematopoietic_vasculature	unassigned	6	7
cadm4	differentiating_neurons	unassigned	1	1
cntln	PSM	unassigned	0	0
zbtb16b	neurons	unassigned	1	1
lama5	notochord	unassigned	0	0
ncam3	hematopoietic_vasculature	unassigned	6	7
notum1a	neurons	unassigned	1	1
fabp7a	neurons	unassigned	2	8
prex1	hematopoietic_vasculature	unassigned	0	0
adgrb2	spinal_cord	unassigned	0	0
itga5	muscle	unassigned	0	2
rpl17	hematopoietic_vasculature	unassigned	0	11
elk3	hematopoietic_vasculature	unassigned	3	5
atp11a	hematopoietic_vasculature	unassigned	0	0
usp28	muscle	unassigned	4	3
pik3cb	epidermis	unassigned	0	0
tiam1b	epidermis	unassigned	0	2
pax6b	spinal_cord	unassigned	1	1
slc1a3a	neurons	unassigned	1	1
rreb1a	tail_bud	unassigned	0	0
pmp22b	notochord	unassigned	7	9
lrp2a	neural_floor_plate	unassigned	1	1
scin	hatching_gland	unassigned	5	4
shank3a	endocrine_pancreas	unassigned	0	0
ryr1a	muscle	unassigned	4	3
pcdh1gc5	differentiating_neurons	unassigned	2	6
magi2a	pharyngeal_arches	unassigned	0	0
alpk3b	muscle	unassigned	4	3
fgfr1b	PSM	unassigned	0	0
tac1	hatching_gland	unassigned	2	8
kirrel3l	hindbrain	unassigned	0	0
plekhg4	somites	unassigned	0	2
plpp1a	fast_muscle	unassigned	0	2
tanc2a	spinal_cord	unassigned	0	0
si:ch211-207c6.2	tail_bud	unassigned	6	7
smyhc1	muscle	unassigned	4	3
camk2g1	epidermis	unassigned	0	0
notch1a	tail_bud	unassigned	0	0
casz1	muscle	unassigned	4	3
fip1l1a	hatching_gland	unassigned	5	4
slc1a6	hindbrain	unassigned	1	10
doc2b	muscle	unassigned	0	5
dcn	epidermis	unassigned	3	5
si:dkey-269i1.4.1	hatching_gland	unassigned	5	4
hoxc13b	NMPs	unassigned	2	8
ppp2r5b	enteric_neurons	unassigned	2	6
phldb1b	notochord	unassigned	0	0
cadm1a	neural_optic	unassigned	1	1
qki2	muscle	unassigned	0	0
p3h2	heart_myocardium	unassigned	3	5
adgrl3.1	midbrain_hindbrain_boundary	unassigned	1	1
daam1b	notochord	unassigned	0	0
adamts15a	muscle	unassigned	3	5
tnfrsf19	spinal_cord	unassigned	0	0
zic5	neurons	unassigned	1	1
nlk2	enteric_neurons	unassigned	1	1
trhra	hatching_gland	unassigned	5	4
dnmbp	fast_muscle	unassigned	0	0
pcdh1g2	differentiating_neurons	unassigned	2	6
sox5	PSM	unassigned	0	2
dgkh	muscle	unassigned	0	2
CU928117.1	notochord	unassigned	0	0
akap6	muscle	unassigned	4	3
si:ch211-57n23.4	differentiating_neurons	unassigned	2	8
rps2	PSM	unassigned	0	11
actc1b	muscle	unassigned	4	8
arhgap32b	neural_telencephalon	unassigned	0	0
wnk1b	heart_myocardium	unassigned	3	5
dgkza	hematopoietic_vasculature	unassigned	0	0
fibina	lateral_plate_mesoderm	unassigned	2	8
ca15b	endoderm	left_bottom	9	12
arhgef28a	endocrine_pancreas	unassigned	1	1
nid1b	lateral_plate_mesoderm	unassigned	0	2
galnt16	notochord	unassigned	7	9
pcbp4	enteric_neurons	unassigned	0	0
epha4l	hindbrain	unassigned	1	1
dock9b	muscle	unassigned	4	3
sorcs2	endoderm	unassigned	3	10
efnb3b	neural_posterior	unassigned	1	1
dennd4a	lateral_plate_mesoderm	unassigned	5	4
specc1	hatching_gland	unassigned	5	4
zgc:64106	endoderm	unassigned	3	10
adgrl2a	muscle	unassigned	0	0
sesn1	somites	unassigned	0	0
arhgap29a	spinal_cord	unassigned	1	1
rab3da	hatching_gland	unassigned	5	4
stard13a	pharyngeal_arches	unassigned	3	5
angptl6	notochord	unassigned	7	9
gch2	hematopoietic_vasculature	unassigned	2	8
CU638714.1	hindbrain	unassigned	2	6
myo1b	somites	unassigned	0	0
camk2d1	hatching_gland	unassigned	5	4
tln1	notochord	unassigned	0	0
zgc:112038	heart_myocardium	unassigned	3	5
slc6a1b	spinal_cord	unassigned	2	8
akap12b	lateral_plate_mesoderm	unassigned	0	0
egr2a	hindbrain	unassigned	1	1
adamts3	spinal_cord	unassigned	0	0
lrba	endocrine_pancreas	unassigned	0	0
camsap3	hatching_gland	unassigned	5	4
bmp7a	NMPs	unassigned	8	10
olfm2a	enteric_neurons	unassigned	2	6
prtgb	NMPs	unassigned	2	8
fgfrl1a	somites	unassigned	0	2
rbms2b	pharyngeal_arches	unassigned	0	0
zgc:171844	hatching_gland	unassigned	5	4
jarid2b	hindbrain	unassigned	0	0
plekha6	epidermis	unassigned	0	0
oxr1b	hatching_gland	unassigned	5	4
cacna1ha	muscle	unassigned	4	3
gls2a	notochord	unassigned	7	9
scrt1a	enteric_neurons	unassigned	2	6
pacrg	PSM	unassigned	0	2
si:dkey-237i9.8	hematopoietic_vasculature	unassigned	6	7
tcea3	muscle	unassigned	4	3
si:ch211-120e1.7	NMPs	unassigned	3	5
hbbe1.1	hemangioblasts	unassigned	6	7
zgc:194930	hatching_gland	unassigned	5	4
si:ch211-186j3.6	PSM	unassigned	0	2
arhgap21a	enteric_neurons	unassigned	1	1
stmn2b	enteric_neurons	unassigned	2	6
hist1h2a11.2	hematopoietic_vasculature	right_bottom	3	10
kcnd2	muscle	unassigned	0	2
ralgapa2	enteric_neurons	unassigned	0	0
fign	somites	unassigned	0	0
pld1b	hatching_gland	unassigned	5	4
gria1a	differentiating_neurons	unassigned	2	6
myt1a	enteric_neurons	unassigned	2	6
dlc1	lateral_plate_mesoderm	unassigned	3	5
hpse2	enteric_neurons	unassigned	3	5
si:dkey-261h17.1	notochord	unassigned	0	2
cacna1c	lateral_plate_mesoderm	unassigned	3	5
pax3b	neurons	unassigned	1	1
celsr1b	neural_telencephalon	unassigned	1	1
eya1	lateral_plate_mesoderm	unassigned	0	0
ptprfa	endocrine_pancreas	unassigned	3	10
drll.2	hemangioblasts	unassigned	6	7
epha3	optic_cup	unassigned	1	1
colec12	pharyngeal_arches	unassigned	3	5
akap13	hemangioblasts	unassigned	0	0
aldh1a2	somites	unassigned	0	0
oclna	epidermis	unassigned	5	4
nbeab	hatching_gland	unassigned	0	0
antxr1d	spinal_cord	unassigned	2	6
pvrl2l	hindbrain	unassigned	1	1
myo18ab	muscle	unassigned	0	0
hhip	muscle	unassigned	0	0
sept9a	pharyngeal_arches	unassigned	0	2
nos1apa.1	notochord	unassigned	0	0
ucp3	hemangioblasts	unassigned	6	7
setbp1	somites	unassigned	0	0
agap1	endocrine_pancreas	unassigned	0	0
etv4	notochord	unassigned	0	2
ablim1b	pharyngeal_arches	unassigned	0	0
klf7a	enteric_neurons	unassigned	2	6
rc3h2	muscle	unassigned	4	3
agbl4.1	differentiating_neurons	unassigned	1	1
foxl2a	lateral_plate_mesoderm	unassigned	3	5
baiap2l2a	pronephros	unassigned	6	5
vav2	enteric_neurons	unassigned	0	0
mapta	lateral_plate_mesoderm	unassigned	7	9
adamts10	fast_muscle	unassigned	4	3
zeb1b	midbrain_hindbrain_boundary	unassigned	0	0
sparc	lateral_plate_mesoderm	unassigned	2	8
add2	hemangioblasts	unassigned	6	7
col9a2	notochord	unassigned	7	9
bicd1a	neurons	unassigned	1	1
bach2b	hindbrain	unassigned	1	1
lpp	endoderm	unassigned	0	0
nrros	hematopoietic_vasculature	unassigned	6	7
si:ch73-380l10.2	enteric_neurons	unassigned	2	8
her8.2	neural_posterior	unassigned	2	8
obscnb	muscle	unassigned	4	3
lyz	enteric_neurons	unassigned	2	8
sh3rf1	notochord	unassigned	0	0
maml3	tail_bud	unassigned	0	0
myo10l1	neural_crest	unassigned	2	6
mapkbp1	PSM	unassigned	0	2
pard6gb	neural_telencephalon	unassigned	0	0
postnb	somites	unassigned	2	8
ablim2	notochord	unassigned	7	9
efna1b	NMPs	unassigned	0	2
tlx2	enteric_neurons	unassigned	2	6
CU929150.2	muscle	unassigned	4	3
zgc:77784	differentiating_neurons	unassigned	2	6
trim109	muscle	unassigned	4	3
glipr2	hemangioblasts	unassigned	6	7
CABZ01018956.1	heart_myocardium	unassigned	3	10
pdzrn3b	heart_myocardium	unassigned	0	5
sst1.1	neural_telencephalon	unassigned	2	8
map6a	enteric_neurons	unassigned	2	6
chga	enteric_neurons	unassigned	2	6
unc5a	pharyngeal_arches	unassigned	0	0
dlgap1a	enteric_neurons	unassigned	5	4
whrna	hatching_gland	unassigned	5	4
si:ch211-216p19.6	hatching_gland	unassigned	5	4
tmx2a	muscle	unassigned	4	3
fstl1b	notochord	unassigned	0	0
dhrs7ca	muscle	unassigned	4	3
PLEKHH3	notochord	unassigned	0	0
epha4a	hindbrain	unassigned	0	0
jagn1a	enteric_neurons	unassigned	2	6
cldnc	endoderm	unassigned	3	10
mef2cb	hematopoietic_vasculature	unassigned	4	3
xylt1	neurons	unassigned	0	0
myo10l3	enteric_neurons	unassigned	0	0
notch2	somites	unassigned	0	2
pcdh7b	lateral_plate_mesoderm	unassigned	3	5
musk	muscle	unassigned	4	3
loxl5b	notochord	unassigned	7	9
foxp1b	lateral_plate_mesoderm	unassigned	1	1
c4b	neural_floor_plate	unassigned	1	1
drd2b	notochord	unassigned	3	5
dchs1b	lateral_plate_mesoderm	unassigned	3	5
si:ch211-14k19.8	hematopoietic_vasculature	unassigned	6	7
pcdh8	PSM	unassigned	8	2
cx43	optic_cup	unassigned	2	8
si:dkey-31j3.11	lateral_plate_mesoderm	unassigned	3	5
afap1	enteric_neurons	unassigned	0	0
syne2b	muscle	unassigned	1	0
bmp6	heart_myocardium	unassigned	3	5
ccnd2a	neural_floor_plate	unassigned	0	0
lamc1	epidermis	unassigned	0	0
fmoda	neural_telencephalon	unassigned	2	8
lcp1	hematopoietic_vasculature	unassigned	2	8
tox3	hindbrain	unassigned	1	1
ptgdsb.2	spinal_cord	unassigned	8	10
dusp14	hatching_gland	unassigned	5	4
ptpn4a	hatching_gland	unassigned	0	0
pax7b	hindbrain	unassigned	1	1
rpsa	hemangioblasts	unassigned	0	11
klf7b	enteric_neurons	unassigned	0	0
angptl7	somites	unassigned	4	3
pcdh2g28	differentiating_neurons	unassigned	0	0
si:ch73-194h10.3	neural_posterior	unassigned	2	6
hdr	notochord	unassigned	6	7
vent	NMPs	unassigned	8	10
met	endocrine_pancreas	unassigned	1	1
fam222a	NMPs	unassigned	0	2
efnb3a	optic_cup	unassigned	1	1
ek1	neural_optic	unassigned	1	1
pabpc4	fast_muscle	unassigned	4	3
sema6e	hatching_gland	unassigned	0	0
plxna2	muscle	unassigned	0	0
vwa7	neural_posterior	unassigned	1	1
txlnba	muscle	unassigned	4	3
ssbp3a	enteric_neurons	unassigned	0	0
peli2	tail_bud	unassigned	0	2
mcama	endocrine_pancreas	unassigned	0	0
strbp	enteric_neurons	unassigned	2	6
ptch1	neural_telencephalon	unassigned	0	0
ppargc1a	muscle	unassigned	0	2
si:dkey-76k16.6	hatching_gland	unassigned	5	4
cacna1g	muscle	unassigned	3	5
esrp2	hatching_gland	unassigned	5	4
arhgap22	enteric_neurons	unassigned	7	9
esrra	PSM	unassigned	0	2
col9a3	notochord	unassigned	7	9
rfesd	hemangioblasts	unassigned	6	7
ror1	neurons	unassigned	0	0
bin1a	differentiating_neurons	unassigned	7	9
mbnl1	hemangioblasts	unassigned	6	7
tecpr1b	hatching_gland	unassigned	5	4
cep85l	muscle	unassigned	0	2
prex2	NMPs	unassigned	0	2
rbfox1	enteric_neurons	unassigned	2	6
gfra1b	spinal_cord	unassigned	0	2
kcnma1a	hatching_gland	unassigned	0	0
tnika	neural_posterior	unassigned	1	1
stac3	muscle	unassigned	4	3
rcvrn2	hatching_gland	unassigned	5	4
srgap2	hindbrain	unassigned	0	0
rps6ka3b	hematopoietic_vasculature	unassigned	6	7
lrrc15	hemangioblasts	unassigned	6	7
spegb	muscle	unassigned	4	3
rx1	optic_cup	unassigned	1	1
znfl1l	PSM	unassigned	8	2
hbae1.3.1	hemangioblasts	unassigned	6	7
flncb	muscle	unassigned	4	3
znfl1i	PSM	unassigned	8	2
cspg5a	hindbrain	unassigned	1	1
prkag2a	heart_myocardium	unassigned	0	0
camk1b	hatching_gland	unassigned	5	4
p4ha3	lateral_plate_mesoderm	unassigned	3	5
thbs2b	pharyngeal_arches	unassigned	3	5
eve1	NMPs	unassigned	8	10
pcdh12	hematopoietic_vasculature	unassigned	3	5
sash1a	endocrine_pancreas	unassigned	0	0
pdzd2	notochord	unassigned	0	2
esama	hematopoietic_vasculature	unassigned	6	7
foxp2	lateral_plate_mesoderm	unassigned	1	1
si:ch211-207i1.2	neural_telencephalon	unassigned	1	1
tdrd7a	muscle	left_bottom	9	12
acta1b	muscle	unassigned	2	8
si:dkey-71h2.2	notochord	unassigned	7	9
dip2a	hematopoietic_vasculature	unassigned	0	0
wnt7ab	neural_posterior	unassigned	1	1
si:dkey-157g16.6	neural_telencephalon	unassigned	1	1
si:ch211-263k4.2	neural_optic	unassigned	1	1
mstnb	enteric_neurons	unassigned	2	6
rpl13a	hemangioblasts	unassigned	0	11
CRACD	notochord	unassigned	7	9
enc1	NMPs	unassigned	0	0
cntnap5a	enteric_neurons	unassigned	2	6
znf385c	differentiating_neurons	unassigned	0	0
tuba8l3	enteric_neurons	unassigned	2	1
ptbp3	hatching_gland	unassigned	0	0
hist1h2a6	neurons	right_bottom	3	10
ptk2ab	notochord	unassigned	0	2
si:ch211-13k12.2	neural	unassigned	0	0
ntn1a	floor_plate	unassigned	1	1
bcl11aa	neural_optic	unassigned	2	8
fgd5a	hematopoietic_vasculature	unassigned	6	7
si:ch211-200p22.4.1	notochord	unassigned	7	9
fam117bb	neural_telencephalon	unassigned	1	1
cpox	hemangioblasts	unassigned	6	7
sulf2b	neural_posterior	unassigned	1	1
si:dkey-239j18.3	hatching_gland	unassigned	5	4
sema3e	lateral_plate_mesoderm	unassigned	3	5
vox	NMPs	unassigned	8	10
mbnl2	hatching_gland	unassigned	0	0
emid1	endoderm	unassigned	3	5
pcdh1b	hatching_gland	unassigned	0	0
grhl2b	endocrine_pancreas	unassigned	5	4
lzts2a	endoderm	unassigned	0	0
tnni2b.1	muscle	unassigned	4	3
myo3b	hematopoietic_vasculature	unassigned	0	0
erfl3	neural_telencephalon	unassigned	0	0
sema3fb	hindbrain	unassigned	0	0
mllt3	tail_bud	unassigned	0	2
si:dkey-93h22.7	neural_crest	unassigned	6	7
nav2a	notochord	unassigned	0	0
prkcbb	NMPs	unassigned	0	2
zic2b	neurons	unassigned	0	0
cadm3	differentiating_neurons	unassigned	1	1
onecutl	enteric_neurons	unassigned	2	6
cilp	somites	unassigned	4	3
brsk2b	differentiating_neurons	unassigned	1	1
sec24d	hatching_gland	unassigned	5	4
rhbdf1a	hematopoietic_vasculature	unassigned	3	5
rbms1b	endocrine_pancreas	unassigned	3	5
tyrp1b	lateral_plate_mesoderm	unassigned	2	8
shisa2a	neural_telencephalon	unassigned	8	10
elmo1	hematopoietic_vasculature	unassigned	0	0
rgs2	hatching_gland	unassigned	5	4
si:dkey-12l12.1	notochord	unassigned	7	9
ZNF423	neural	unassigned	1	1
unc5b	neural	unassigned	0	0
trpv4	notochord	unassigned	7	9
ston2	somites	unassigned	0	2
gpc5c	hatching_gland	unassigned	5	4
dyrk4	hatching_gland	unassigned	5	4
pcolcea	pharyngeal_arches	unassigned	3	5
SEMA4F	NMPs	unassigned	0	0
sncb	enteric_neurons	unassigned	2	6
crabp1b	enteric_neurons	unassigned	2	6
slc8a3	muscle	unassigned	4	3
si:ch73-22o12.1	heart_myocardium	unassigned	1	1
col14a1a	epidermis	unassigned	0	0
efcab11	endocrine_pancreas	unassigned	0	0
mmp15b	enteric_neurons	unassigned	0	0
mef2aa	neural_optic	unassigned	0	0
si:ch211-210g13.5	enteric_neurons	unassigned	2	6
cntfr	hindbrain	unassigned	1	1
ELAPOR2	differentiating_neurons	unassigned	2	6
mcu	hatching_gland	unassigned	0	0
RTKN	PSM	unassigned	0	2
dacha	neurons	unassigned	1	1
ela2l	hemangioblasts	unassigned	6	7
kif1b	notochord	unassigned	0	0
dennd2b	lateral_plate_mesoderm	unassigned	1	1
myhz1.1	fast_muscle	unassigned	2	8
nexmifb	neural_telencephalon	unassigned	1	1
pik3r3b	endoderm	unassigned	0	0
atp1a3b	differentiating_neurons	unassigned	2	6
dag1	hindbrain	unassigned	0	0
tox2	neural_posterior	unassigned	1	1
elmsan1b	lateral_plate_mesoderm	unassigned	0	0
celf2	optic_cup	unassigned	1	1
prkchb	enteric_neurons	unassigned	2	6
kirrel3a	enteric_neurons	unassigned	2	6
ptprsa.1	enteric_neurons	unassigned	0	0
nedd9	notochord	unassigned	0	2
mylpfa	muscle	unassigned	2	8
hs6st1b	somites	unassigned	0	0
filip1b	muscle	unassigned	7	9
igsf21a	lateral_plate_mesoderm	unassigned	1	1
ccdc102a	notochord	unassigned	0	0
tenm3	pharyngeal_arches	unassigned	0	0
skap1	spinal_cord	unassigned	0	2
tbx16	tail_bud	unassigned	8	2
atp8a2	muscle	unassigned	0	0
thsd7ba	differentiating_neurons	unassigned	1	1
gck	hatching_gland	unassigned	5	4
ctdp1	hindbrain	unassigned	0	0
gnai2a	PSM	unassigned	0	0
SRL	muscle	unassigned	4	3
meis1a	somites	unassigned	0	5
sall1a	notochord	unassigned	0	0
creb3l1	notochord	unassigned	7	9
si:dkey-30e9.7	somites	unassigned	4	3
zbtb16a	midbrain_hindbrain_boundary	unassigned	0	0
nfixb	notochord	unassigned	3	5
CRACR2A	hatching_gland	unassigned	5	4
fhod1	hatching_gland	unassigned	5	4
nlgn1	endocrine_pancreas	unassigned	1	1
sema5a	endoderm	unassigned	0	2
si:ch73-265d7.2	spinal_cord	unassigned	1	1
myf5	PSM	unassigned	8	2
she	hematopoietic_vasculature	unassigned	6	7
bmpr1ba	somites	unassigned	0	2
cbfa2t3	differentiating_neurons	unassigned	4	3
asap1b	hematopoietic_vasculature	unassigned	0	0
bcam	endocrine_pancreas	unassigned	0	0
lmod3	hatching_gland	unassigned	5	4
ephb4b	NMPs	unassigned	0	0
laptm5	hatching_gland	unassigned	5	4
myl13	muscle	unassigned	4	3
sipa1l1	notochord	unassigned	0	0
kazna	enteric_neurons	unassigned	0	2
nsg2	differentiating_neurons	unassigned	2	6
fgf4	notochord	unassigned	7	9
tmed1a	muscle	unassigned	4	3
fnbp1l	endoderm	unassigned	0	0
chl1a	neural_telencephalon	unassigned	1	1
pstpip1b	hatching_gland	unassigned	5	4
smyd3	pronephros	unassigned	0	0
col5a3a	notochord	unassigned	1	1
AP3B2	differentiating_neurons	unassigned	2	6
galnt8a.2	hatching_gland	unassigned	3	5
bhlha15	hatching_gland	unassigned	5	4
celf3a	differentiating_neurons	unassigned	1	1
dlg1l	notochord	unassigned	0	0
sptb	hemangioblasts	unassigned	6	7
chrna1	muscle	unassigned	4	3
b3gnt2b	hatching_gland	unassigned	0	0
plp1a	neural_floor_plate	unassigned	1	1
tbx5a	heart_myocardium	unassigned	3	5
ldb3a	muscle	unassigned	4	3
dmrt2a	somites	unassigned	4	2
cacng1a	muscle	unassigned	4	3
ephb2b	optic_cup	unassigned	1	1
kaznb	hatching_gland	unassigned	1	1
fhdc1	neural_posterior	unassigned	1	1
mxi1	differentiating_neurons	unassigned	1	1
si:ch73-280o22.2	hemangioblasts	unassigned	0	0
asb12b	muscle	unassigned	4	3
itga4	heart_myocardium	unassigned	3	5
dlb	enteric_neurons	unassigned	2	6
mpz	neural_posterior	unassigned	1	1
chn2	hatching_gland	unassigned	5	4
her4.2	spinal_cord	unassigned	2	8
dnm3a	lateral_plate_mesoderm	unassigned	3	5
dachd	lateral_plate_mesoderm	unassigned	3	5
samd10b	PSM	unassigned	0	2
galnt8a.1	pronephros	unassigned	3	5
gapdhs	enteric_neurons	unassigned	2	8
cdx1a	tail_bud	unassigned	8	10
hbbe1.2	hemangioblasts	unassigned	6	7
gabrg1	differentiating_neurons	unassigned	2	6
ephb3a	lateral_plate_mesoderm	unassigned	0	0
gab2	hematopoietic_vasculature	unassigned	0	0
pimr160.2	hindbrain	unassigned	3	10
camkk1a	hatching_gland	unassigned	5	4
skia	midbrain_hindbrain_boundary	unassigned	1	1
mpp3a	differentiating_neurons	unassigned	2	6
comp	somites	unassigned	4	3
epha2a	hindbrain	unassigned	0	0
chrd	spinal_cord	unassigned	8	10
agtrap	notochord	unassigned	7	9
fgf13a	enteric_neurons	unassigned	2	6
fbxl7	pharyngeal_arches	unassigned	3	5
l1camb	enteric_neurons	unassigned	2	6
rplp0	hemangioblasts	unassigned	0	11
sox32	endocrine_pancreas	unassigned	8	10
cpt1cb	hatching_gland	unassigned	5	4
msi2b	hatching_gland	unassigned	0	0
ano8a	hatching_gland	unassigned	5	4
col1a1a	somites	unassigned	2	8
thrab	notochord	unassigned	0	0
quo	hatching_gland	unassigned	5	4
lamb2l	neural_floor_plate	unassigned	1	1
itgb6	fast_muscle	unassigned	4	3
xkr9	hatching_gland	unassigned	5	4
gabbr2	notochord	unassigned	7	9
pnx	differentiating_neurons	unassigned	8	10
morc3b	hematopoietic_vasculature	unassigned	6	7
mnx2a	spinal_cord	unassigned	2	6
myh7bb	heart_myocardium	unassigned	4	3
mecom	pronephros	unassigned	1	1
shisa2b	muscle	unassigned	4	3
gna12a	heart_myocardium	unassigned	3	5
tns2a	hematopoietic_vasculature	unassigned	3	5
igf1ra	fast_muscle	unassigned	0	0
gfra1a	pronephros	unassigned	0	5
lrch4	neurons	unassigned	1	1
map3k8	hematopoietic_vasculature	unassigned	7	9
si:ch211-264f5.6	endocrine_pancreas	unassigned	0	4
srgap3	neurons	unassigned	1	1
ACBD3	hatching_gland	unassigned	5	4
kif26aa	differentiating_neurons	unassigned	4	3
nectin3b	muscle	unassigned	0	0
arvcfb	notochord	unassigned	1	1
phldb1a	muscle	unassigned	4	3
tmem132e	epidermis	unassigned	0	0
gli1	muscle	unassigned	0	0
tmprss9	hatching_gland	unassigned	5	4
stard13b	neural_crest	unassigned	3	5
BX571768.1	hatching_gland	unassigned	5	4
DOCK9	notochord	unassigned	0	2
si:ch211-207d6.2	hatching_gland	unassigned	5	4
wnt2bb	NMPs	unassigned	0	2
col5a1	pharyngeal_arches	unassigned	3	5
tns2b	muscle	unassigned	4	3
si:ch211-222l21.1	neural_optic	unassigned	0	11
ntf3	hatching_gland	unassigned	5	4
hoxc3a	NMPs	unassigned	0	2
sox13	neural_floor_plate	unassigned	1	1
grem2a	somites	unassigned	4	3
myl1	fast_muscle	unassigned	2	8
nppc	hindbrain	unassigned	2	8
rapgef2	muscle	unassigned	0	0
crhbp	enteric_neurons	unassigned	6	7
